Lone_Wolf_PR_ID,PR_Link,Repo_URL,AI_Agent,Evidence_Human_User,Activity_Gap_Days
3230464261,https://github.com/mlflow/mlflow/pull/16726,https://api.github.com/repos/mlflow/mlflow,Copilot,frontsideair,17
3080107491,https://github.com/mlflow/mlflow/pull/15828,https://api.github.com/repos/mlflow/mlflow,Copilot,harupy,1
3103129117,https://github.com/mlflow/mlflow/pull/15975,https://api.github.com/repos/mlflow/mlflow,Copilot,smoorjani,1
3148436473,https://github.com/mlflow/mlflow/pull/16270,https://api.github.com/repos/mlflow/mlflow,Copilot,TomeHirata,1
3151360963,https://github.com/wolfi-dev/os/pull/56793,https://api.github.com/repos/wolfi-dev/os,Claude_Code,octo-sts[bot],79
3115760621,https://github.com/modelcontextprotocol/inspector/pull/486,https://api.github.com/repos/modelcontextprotocol/inspector,Claude_Code,pcarleton,14
3219392635,https://github.com/modelcontextprotocol/inspector/pull/602,https://api.github.com/repos/modelcontextprotocol/inspector,Cursor,pcarleton,50
2886171819,https://github.com/Wan-Video/Wan2.1/pull/108,https://api.github.com/repos/Wan-Video/Wan2.1,Claude_Code,triskyi,0
2888099084,https://github.com/grafana/loki/pull/16510,https://api.github.com/repos/grafana/loki,Claude_Code,renovate[bot],31
2889835337,https://github.com/mrwadams/stride-gpt/pull/60,https://api.github.com/repos/mrwadams/stride-gpt,Claude_Code,danieldavidson,8
2889875255,https://github.com/mrwadams/stride-gpt/pull/61,https://api.github.com/repos/mrwadams/stride-gpt,Claude_Code,danieldavidson,8
3089561576,https://github.com/mrwadams/stride-gpt/pull/72,https://api.github.com/repos/mrwadams/stride-gpt,OpenAI_Codex,mrwadams,4
2889940236,https://github.com/rishikanthc/Scriberr/pull/70,https://api.github.com/repos/rishikanthc/Scriberr,Claude_Code,SpirusNox,5
2889940415,https://github.com/rishikanthc/Scriberr/pull/71,https://api.github.com/repos/rishikanthc/Scriberr,Claude_Code,SpirusNox,5
2915204489,https://github.com/567-labs/instructor/pull/1401,https://api.github.com/repos/567-labs/instructor,Claude_Code,dependabot[bot],4
3240533897,https://github.com/567-labs/instructor/pull/1717,https://api.github.com/repos/567-labs/instructor,Claude_Code,dependabot[bot],23
3210213419,https://github.com/567-labs/instructor/pull/1667,https://api.github.com/repos/567-labs/instructor,OpenAI_Codex,dependabot[bot],13
3210043529,https://github.com/567-labs/instructor/pull/1662,https://api.github.com/repos/567-labs/instructor,OpenAI_Codex,dependabot[bot],13
3210282420,https://github.com/567-labs/instructor/pull/1669,https://api.github.com/repos/567-labs/instructor,OpenAI_Codex,dependabot[bot],13
3210208883,https://github.com/567-labs/instructor/pull/1666,https://api.github.com/repos/567-labs/instructor,OpenAI_Codex,dependabot[bot],13
3210766016,https://github.com/567-labs/instructor/pull/1677,https://api.github.com/repos/567-labs/instructor,OpenAI_Codex,dependabot[bot],14
3203711754,https://github.com/567-labs/instructor/pull/1651,https://api.github.com/repos/567-labs/instructor,OpenAI_Codex,dependabot[bot],10
3210092538,https://github.com/567-labs/instructor/pull/1665,https://api.github.com/repos/567-labs/instructor,OpenAI_Codex,dependabot[bot],13
3210288401,https://github.com/567-labs/instructor/pull/1670,https://api.github.com/repos/567-labs/instructor,OpenAI_Codex,dependabot[bot],13
3246635062,https://github.com/bmadcode/BMAD-METHOD/pull/341,https://api.github.com/repos/bmadcode/BMAD-METHOD,Claude_Code,PMStander,45
3262649320,https://github.com/livestorejs/livestore/pull/514,https://api.github.com/repos/livestorejs/livestore,Claude_Code,LydiaF,57
3251544513,https://github.com/livestorejs/livestore/pull/497,https://api.github.com/repos/livestorejs/livestore,Claude_Code,LydiaF,54
3112345209,https://github.com/modelcontextprotocol/modelcontextprotocol/pull/633,https://api.github.com/repos/modelcontextprotocol/modelcontextprotocol,Claude_Code,John-Rood,1
3093042657,https://github.com/promptfoo/promptfoo/pull/4188,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,mldangelo,0
3093045518,https://github.com/promptfoo/promptfoo/pull/4189,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,mldangelo,0
3078440458,https://github.com/promptfoo/promptfoo/pull/4106,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,sklein12,0
3078330940,https://github.com/promptfoo/promptfoo/pull/4102,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,sklein12,0
3101857129,https://github.com/promptfoo/promptfoo/pull/4248,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,gru-agent[bot],1
3091520348,https://github.com/promptfoo/promptfoo/pull/4169,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,mldangelo,0
3104315713,https://github.com/promptfoo/promptfoo/pull/4256,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,gru-agent[bot],2
3071362457,https://github.com/promptfoo/promptfoo/pull/4066,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,gru-agent[bot],1
3111640319,https://github.com/promptfoo/promptfoo/pull/4283,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,MrFlounder,2
3103429389,https://github.com/promptfoo/promptfoo/pull/4253,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,gru-agent[bot],1
3091928471,https://github.com/promptfoo/promptfoo/pull/4177,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,mldangelo,0
3071443553,https://github.com/promptfoo/promptfoo/pull/4067,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,gru-agent[bot],1
3108166481,https://github.com/promptfoo/promptfoo/pull/4274,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,MrFlounder,2
3092755047,https://github.com/promptfoo/promptfoo/pull/4183,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,mldangelo,0
3092604753,https://github.com/promptfoo/promptfoo/pull/4181,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,mldangelo,0
3082295750,https://github.com/promptfoo/promptfoo/pull/4124,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,MrFlounder,0
3111012343,https://github.com/promptfoo/promptfoo/pull/4277,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,MrFlounder,2
3101786321,https://github.com/promptfoo/promptfoo/pull/4246,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,gru-agent[bot],1
3071169461,https://github.com/promptfoo/promptfoo/pull/4063,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,gru-agent[bot],1
3103428202,https://github.com/promptfoo/promptfoo/pull/4252,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,gru-agent[bot],1
3112390510,https://github.com/promptfoo/promptfoo/pull/4290,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,MrFlounder,1
3090153150,https://github.com/promptfoo/promptfoo/pull/4162,https://api.github.com/repos/promptfoo/promptfoo,OpenAI_Codex,mldangelo,1
3245466752,https://github.com/jlowin/fastmcp/pull/1185,https://api.github.com/repos/jlowin/fastmcp,Claude_Code,fellipesaraiva88,35
